market,report_date,usable_from,comm_net,noncomm_net,nonrep_net,oi
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-01-02,2024-01-05,1234.0,-2221.0,987.0,23579.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-01-09,2024-01-12,779.0,-1618.0,839.0,26846.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-01-16,2024-01-19,-25.0,-994.0,1019.0,23286.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-01-23,2024-01-26,887.0,-1661.0,774.0,22815.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-01-30,2024-02-02,1017.0,-1798.0,781.0,20679.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-02-06,2024-02-09,757.0,-1523.0,766.0,20897.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-02-13,2024-02-16,1152.0,-1921.0,769.0,24769.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-02-20,2024-02-23,1202.0,-2098.0,896.0,25530.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-02-27,2024-03-01,960.0,-1967.0,1007.0,25229.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-03-05,2024-03-08,460.0,-1352.0,892.0,27747.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-03-12,2024-03-15,59.0,-994.0,935.0,30398.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-03-19,2024-03-22,1253.0,-2096.0,843.0,33196.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-03-26,2024-03-29,109.0,-1075.0,966.0,31238.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-04-02,2024-04-05,-1008.0,160.0,848.0,29745.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-04-09,2024-04-12,-838.0,-153.0,991.0,29074.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-04-16,2024-04-19,-313.0,-363.0,676.0,29526.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-04-23,2024-04-26,-657.0,0.0,657.0,27932.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-04-30,2024-05-03,-530.0,6.0,524.0,24795.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-05-07,2024-05-10,134.0,-783.0,649.0,26155.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-05-14,2024-05-17,-421.0,-177.0,598.0,27077.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-05-21,2024-05-24,122.0,-890.0,768.0,30694.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-05-28,2024-05-31,-148.0,-756.0,904.0,30255.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-06-04,2024-06-07,366.0,-1119.0,753.0,31086.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-06-11,2024-06-14,449.0,-1138.0,689.0,30503.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-06-18,2024-06-21,225.0,-723.0,498.0,30627.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-06-25,2024-06-28,241.0,-624.0,383.0,30171.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-07-02,2024-07-05,512.0,-912.0,400.0,27063.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-07-09,2024-07-12,-88.0,-118.0,206.0,28241.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-07-16,2024-07-19,181.0,-579.0,398.0,31183.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-07-23,2024-07-26,182.0,-661.0,479.0,32435.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-07-30,2024-08-02,327.0,-1002.0,675.0,28605.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-08-06,2024-08-09,-719.0,538.0,181.0,27535.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-08-13,2024-08-16,-676.0,395.0,281.0,27874.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-08-20,2024-08-23,17.0,-243.0,226.0,29630.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-08-27,2024-08-30,-132.0,-166.0,298.0,29817.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-09-03,2024-09-06,-351.0,108.0,243.0,26859.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-09-10,2024-09-13,85.0,-353.0,268.0,28157.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-09-17,2024-09-20,596.0,-973.0,377.0,30995.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-09-24,2024-09-27,1093.0,-1546.0,453.0,30542.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-10-01,2024-10-04,1453.0,-1684.0,231.0,28539.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-10-08,2024-10-11,872.0,-1282.0,410.0,29382.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-10-15,2024-10-18,1466.0,-1872.0,406.0,34494.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-10-22,2024-10-25,1114.0,-1645.0,531.0,33562.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-10-29,2024-11-01,1242.0,-1869.0,627.0,33787.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-11-05,2024-11-08,927.0,-1457.0,530.0,32011.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-11-12,2024-11-15,1151.0,-1798.0,647.0,38531.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-11-19,2024-11-22,1294.0,-2084.0,790.0,41203.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-11-26,2024-11-29,506.0,-1196.0,690.0,40510.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-12-03,2024-12-06,1040.0,-1595.0,555.0,37021.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-12-10,2024-12-13,236.0,-720.0,484.0,37588.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-12-17,2024-12-20,-483.0,171.0,312.0,42524.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-12-24,2024-12-27,-146.0,-129.0,275.0,37125.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-12-31,2025-01-03,-44.0,-319.0,363.0,33893.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-01-07,2025-01-10,-1408.0,1190.0,218.0,35079.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-01-14,2025-01-17,-1520.0,1335.0,185.0,35471.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-01-21,2025-01-24,-1007.0,739.0,268.0,38556.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-01-28,2025-01-31,-1473.0,1165.0,308.0,34317.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-02-04,2025-02-07,-918.0,786.0,132.0,32892.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-02-11,2025-02-14,307.0,-367.0,60.0,32949.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-02-18,2025-02-21,141.0,-367.0,226.0,33833.0
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-02-25,2025-02-28,-261.0,204.0,57.0,32060.0
