market,report_date,usable_from,comm_net,noncomm_net,nonrep_net,oi
GOLD - COMMODITY EXCHANGE INC.,2023-01-03,2023-01-06,-159974.0,141666.0,18308.0,449393.0
GOLD - COMMODITY EXCHANGE INC.,2023-01-10,2023-01-13,-172478.0,150535.0,21943.0,481519.0
GOLD - COMMODITY EXCHANGE INC.,2023-01-17,2023-01-20,-175913.0,153240.0,22673.0,491818.0
GOLD - COMMODITY EXCHANGE INC.,2023-01-24,2023-01-27,-180554.0,157673.0,22881.0,499927.0
GOLD - COMMODITY EXCHANGE INC.,2023-01-31,2023-02-03,-180520.0,160281.0,20239.0,471642.0
GOLD - COMMODITY EXCHANGE INC.,2023-02-07,2023-02-10,-152966.0,128815.0,24151.0,439755.0
GOLD - COMMODITY EXCHANGE INC.,2023-02-14,2023-02-17,-129072.0,105529.0,23543.0,426116.0
GOLD - COMMODITY EXCHANGE INC.,2023-02-21,2023-02-24,-129355.0,107101.0,22254.0,422648.0
GOLD - COMMODITY EXCHANGE INC.,2023-02-28,2023-03-03,-127487.0,108593.0,18894.0,426890.0
GOLD - COMMODITY EXCHANGE INC.,2023-03-07,2023-03-10,-118920.0,98474.0,20446.0,458474.0
GOLD - COMMODITY EXCHANGE INC.,2023-03-14,2023-03-17,-155440.0,140331.0,15109.0,459064.0
GOLD - COMMODITY EXCHANGE INC.,2023-03-21,2023-03-24,-183568.0,158605.0,24963.0,469874.0
GOLD - COMMODITY EXCHANGE INC.,2023-03-28,2023-03-31,-201508.0,181630.0,19878.0,478611.0
GOLD - COMMODITY EXCHANGE INC.,2023-04-04,2023-04-07,-218250.0,195216.0,23034.0,476592.0
GOLD - COMMODITY EXCHANGE INC.,2023-04-11,2023-04-14,-216548.0,192745.0,23803.0,476567.0
GOLD - COMMODITY EXCHANGE INC.,2023-04-18,2023-04-21,-216425.0,189893.0,26532.0,482254.0
GOLD - COMMODITY EXCHANGE INC.,2023-04-25,2023-04-28,-211928.0,185264.0,26664.0,473209.0
GOLD - COMMODITY EXCHANGE INC.,2023-05-02,2023-05-05,-217584.0,195567.0,22017.0,493804.0
GOLD - COMMODITY EXCHANGE INC.,2023-05-09,2023-05-12,-222515.0,195814.0,26701.0,518951.0
GOLD - COMMODITY EXCHANGE INC.,2023-05-16,2023-05-19,-211557.0,179814.0,31743.0,521832.0
GOLD - COMMODITY EXCHANGE INC.,2023-05-23,2023-05-26,-187023.0,160732.0,26291.0,479080.0
GOLD - COMMODITY EXCHANGE INC.,2023-05-30,2023-06-02,-190005.0,169316.0,20689.0,449515.0
GOLD - COMMODITY EXCHANGE INC.,2023-06-06,2023-06-09,-198187.0,175641.0,22546.0,436301.0
GOLD - COMMODITY EXCHANGE INC.,2023-06-13,2023-06-16,-186062.0,160209.0,25853.0,432898.0
GOLD - COMMODITY EXCHANGE INC.,2023-06-20,2023-06-23,-186537.0,162975.0,23562.0,438037.0
GOLD - COMMODITY EXCHANGE INC.,2023-06-27,2023-06-30,-175335.0,151910.0,23425.0,431861.0
GOLD - COMMODITY EXCHANGE INC.,2023-07-03,2023-07-06,-184717.0,163097.0,21620.0,448063.0
GOLD - COMMODITY EXCHANGE INC.,2023-07-11,2023-07-14,-187749.0,165754.0,21995.0,483170.0
GOLD - COMMODITY EXCHANGE INC.,2023-07-18,2023-07-21,-213715.0,193348.0,20367.0,482104.0
GOLD - COMMODITY EXCHANGE INC.,2023-07-25,2023-07-28,-198210.0,173639.0,24571.0,476176.0
GOLD - COMMODITY EXCHANGE INC.,2023-08-01,2023-08-04,-186845.0,164924.0,21921.0,439383.0
GOLD - COMMODITY EXCHANGE INC.,2023-08-08,2023-08-11,-167554.0,142985.0,24569.0,427759.0
GOLD - COMMODITY EXCHANGE INC.,2023-08-15,2023-08-18,-141930.0,121136.0,20794.0,433611.0
GOLD - COMMODITY EXCHANGE INC.,2023-08-22,2023-08-25,-121036.0,101946.0,19090.0,430239.0
GOLD - COMMODITY EXCHANGE INC.,2023-08-29,2023-09-01,-140594.0,123272.0,17322.0,442806.0
GOLD - COMMODITY EXCHANGE INC.,2023-09-05,2023-09-08,-158239.0,138006.0,20233.0,438672.0
GOLD - COMMODITY EXCHANGE INC.,2023-09-12,2023-09-15,-144810.0,123864.0,20946.0,441221.0
GOLD - COMMODITY EXCHANGE INC.,2023-09-19,2023-09-22,-152932.0,135163.0,17769.0,438078.0
GOLD - COMMODITY EXCHANGE INC.,2023-09-26,2023-09-29,-134836.0,115815.0,19021.0,435620.0
GOLD - COMMODITY EXCHANGE INC.,2023-10-03,2023-10-06,-111982.0,91226.0,20756.0,431226.0
GOLD - COMMODITY EXCHANGE INC.,2023-10-10,2023-10-13,-90428.0,71433.0,18995.0,436499.0
GOLD - COMMODITY EXCHANGE INC.,2023-10-17,2023-10-20,-127999.0,112738.0,15261.0,439581.0
GOLD - COMMODITY EXCHANGE INC.,2023-10-24,2023-10-27,-165873.0,149385.0,16488.0,463476.0
GOLD - COMMODITY EXCHANGE INC.,2023-10-31,2023-11-03,-182707.0,163425.0,19282.0,475808.0
GOLD - COMMODITY EXCHANGE INC.,2023-11-07,2023-11-10,-186091.0,166216.0,19875.0,484347.0
GOLD - COMMODITY EXCHANGE INC.,2023-11-14,2023-11-17,-177019.0,155376.0,21643.0,486634.0
